interaction_id,ad_id,customer_id,event_type,event_time,device_type,location
96dc3ef3-5b0b-463e-ae51-ed925af97b10,7fc72088-79f2-4940-b431-791eb59b4eb7,d6d411c4-a3ea-4563-9a49-4f6307121480,impression,2024-04-13 12:37:26,Desktop,"Davidshire, Italy"
ea96cfef-c9e4-4421-8d7e-9eb13fb6c322,99972bc9-41ca-4e67-938f-773cc036bc4d,a7a65614-7e84-424b-9057-e8ea319e16a4,impression,2024-12-02 00:57:27,Tablet,"Lake Peter, Oman"
57404ac3-e2cd-4015-a26f-a519a72c6286,0e6214dd-6086-4c57-a2ac-de9bb3b88afc,2312ac06-a1c9-477f-8a48-5fc14a0c8386,click,2023-06-09 08:56:29,Desktop,"Michellechester, Chad"
a9bd5bcd-fd12-450a-b4c4-1a1d94b12d4d,981af75f-0dcb-4179-b45a-6ce4607c3f0d,,impression,2023-04-26 15:23:16,Desktop,"West Nancy, Antigua and Barbuda"
aff0d43b-3864-46bd-966c-e0a19f956241,57919b16-a53f-4dfe-9867-69234976cc05,a8188a8c-9e3c-4381-9763-3bee1943e675,impression,2024-07-12 21:31:27,Tablet,"Hendersonfort, Norfolk Island"
b0ecc6f2-e5db-4ebf-9d63-3441a670e45f,5386747a-4bd6-4be3-9e0c-ccb9b9e3944f,,impression,2023-06-05 03:10:24,Tablet,"North Randy, Gambia"
7c2d7e2a-a058-4cd6-a84b-70d185639b5d,c68f8c0b-e6d4-4594-9c36-b64299819a65,a02b553f-411a-4373-8374-ab64ceacc277,conversion,2023-04-24 09:24:11,Mobile,"East Sydneychester, Uruguay"
24649bbc-70d4-4f2e-a87d-ba233e9e2eda,d81e8438-dc6b-46fc-80dd-52767006db0c,,impression,2023-11-03 07:45:46,Mobile,"New Timothy, Lebanon"
4eaa6ade-3bf0-4a47-8590-1938ddd24129,2b38f330-adec-439d-9e61-a6f5308bf8d7,,impression,2023-09-28 06:00:53,Desktop,"West Whitney, Liberia"
3e16b8b5-e231-4806-9e0f-2aefcaed2865,ef5f9433-a6a3-4714-ac4c-4a9d4086405a,a78dffda-2fa9-4e7b-a1f3-f4fac3c80e8f,impression,2023-05-14 14:42:05,Tablet,"Port Emily, South Georgia and the South Sandwich Islands"
1a7a4cb3-cbc0-49ca-9a24-a75b01a4eb21,65029306-cc97-497c-b147-f5d45535aa89,b1457bb2-e80e-438f-8ef6-b4bc7e377803,impression,2025-03-30 06:23:58,Mobile,"Hendersonfort, Norfolk Island"
e233a649-2a9a-41af-b13c-d524f73efb7c,cbbef0a4-0784-4edf-a14f-7d23ec0371ba,99dafc35-76cd-42eb-a7c1-fac3e426e1c7,click,2023-05-30 15:29:46,Desktop,"South Diana, Romania"
c2f98fb6-608f-4517-a47c-d9a92f93eb3b,78171393-9a57-4271-a9bb-b52a72f53897,,click,2024-12-16 17:42:25,Mobile,"Shawnfort, Greece"
a2814eb5-4d8a-49e7-91e2-339db849ce9d,3c092fef-aad2-45d8-af85-6b6285489ccf,f1962e4f-a684-417d-959f-e6275a4cb893,impression,2024-02-16 19:04:01,Desktop,"Sotoburgh, Northern Mariana Islands"
73856fd7-acb4-4cdb-b5c6-224c8e2781d9,956bf365-03f3-485f-b8ad-6cace4c9d859,,impression,2024-05-11 04:10:52,Desktop,"Danielshire, Cook Islands"
d0f5b02f-77d1-4781-9408-2b3477b78d15,67dd52e4-33b8-4938-8019-da35eec600d1,88743514-2d29-46d3-8710-3348bac20d51,impression,2023-11-22 04:47:40,Mobile,"Ortizfort, Israel"
5c426d57-df8f-4bee-9583-071a1ee4ab54,f5647330-08ae-42e7-91be-cc6ffa63ec5d,42e99bb0-303a-4117-a036-f6434219aa34,impression,2024-08-13 21:40:55,Desktop,"Samanthashire, Belize"
78d074b1-d4f2-4e29-97fe-cafc5df87c8a,052432e8-7b99-489b-8238-14ca8124fdcc,3dcdc4e3-4bcf-4001-b870-ef43211fa5f4,impression,2024-10-18 04:38:37,Desktop,"Ayalaberg, Norway"
703cefbe-41ab-4e8b-8a13-2c8259c3a541,f8c84dd6-c34e-41ed-aa5a-6ef1f68f52a1,5ecaee32-bd53-4b0b-b20c-0e5e5879380f,impression,2024-05-06 20:30:16,Mobile,"South Michael, Croatia"
e854b09b-0319-401b-81e3-6a4850e683c2,a957d4ec-788e-4955-a618-c8ac5d6e4c00,d6b82152-4025-48dd-93c6-9c25b8d8c345,click,2024-11-29 12:14:30,Tablet,"Davidshire, Italy"
6b7a529d-4cf1-45b3-b3e3-d96ed175707e,95a48cb6-8d58-4637-a3e2-cbd939d7d460,6f162b35-ab68-46c8-8648-1da322ff9047,impression,2024-03-01 08:29:19,Mobile,"New Dannyside, Swaziland"
