ad_id,campaign_id,platform_id,ad_name,ad_format,created_at,is_active
80167875-382d-4206-9acd-0b09dbf39b20,0f813e6f-b877-432d-9597-0b0122442dee,d69a7560-4d0c-4818-8541-8e0c45f43769,Future-proofed object-oriented analyzer - Video,Video,2024-07-27,True
61622943-a126-4cfb-b5e5-c2a72e3b4636,13b9e719-45f6-49a9-9dd2-1e5ace161586,2cd98818-b0ed-45d5-bf64-6b610105bf2c,Versatile context-sensitive leverage - Video,Video,2023-04-08,True
5bed24e6-7391-435b-a373-8b9d6832d0d4,122d8b88-2c0a-4183-a17e-08fdcbb0d906,2280431c-4662-4b07-97d1-126a5eb4658e,Streamlined leadingedge focus group - Text,Text,2025-01-28,True
5affd446-7026-4231-98e6-f1b049215c09,24e8e223-e15f-4b0f-8193-f10a864ce018,e26263ef-e2cf-4059-a74f-105b2bc09db9,Reduced intermediate productivity - Carousel,Carousel,2024-04-22,False
81564c64-dfc9-47ba-aaf5-5cd49194732b,beb398f2-a6ba-4163-aa5c-ff10733f7e35,e26263ef-e2cf-4059-a74f-105b2bc09db9,Pre-emptive background leverage - Video,Video,2023-01-02,True
68d95fff-7c13-4658-859e-250e17898241,4e5b1d3f-a7f7-4b58-be67-91204c97f36e,833c108f-03c4-49b0-8ab4-beb52764c3cb,Open-source full-range Graphic Interface - Carousel,Carousel,2025-02-06,True
e42c20fa-f0ce-4ebc-b90d-fcffe68dc75b,ce7fd76e-d9d7-45b1-a6ba-c833e0329c84,d69a7560-4d0c-4818-8541-8e0c45f43769,Customer-focused cohesive groupware - Image,Image,2023-09-23,False
0c598923-0028-479a-81b7-8836dd4e43fc,23a9f1fc-c09b-44aa-9088-f1445c93235a,2cd98818-b0ed-45d5-bf64-6b610105bf2c,Team-oriented modular forecast - Video,Video,2024-02-05,True
cd556cad-9328-46fa-a2bf-8099b57b9a7b,02267d2a-4960-45bf-b882-daa56d6ca767,833c108f-03c4-49b0-8ab4-beb52764c3cb,Virtual neutral alliance - Image,Image,2023-08-18,True
30bf4354-0b8c-425b-a188-3236c83aaa18,ab6b54d7-3c4c-4634-be1b-d8585e3ec276,2cd98818-b0ed-45d5-bf64-6b610105bf2c,Cross-group foreground extranet - Video,Video,2023-09-24,True
d610d205-1b81-4c81-8d9f-24ead68ac25f,4cef0289-1373-4c46-af2c-a66b85932f65,a9d03cd8-79fb-4be1-abda-02d7e95795d8,Customizable zero administration initiative - Text,Text,2024-12-28,True
101a9eff-552a-40c9-8c46-eb04ea21414a,ce7fd76e-d9d7-45b1-a6ba-c833e0329c84,a9d03cd8-79fb-4be1-abda-02d7e95795d8,Adaptive stable moratorium - Image,Image,2023-09-24,True
6bc020dd-bf73-4237-8f09-5f6a36b4ec83,beb398f2-a6ba-4163-aa5c-ff10733f7e35,a9d03cd8-79fb-4be1-abda-02d7e95795d8,Open-source actuating core - Text,Text,2023-01-19,True
8a0d500e-64f6-48ed-a3ec-fa3b8d295203,342fd872-243c-4004-9a7b-c14bbafbf534,a9d03cd8-79fb-4be1-abda-02d7e95795d8,Multi-lateral regional system engine - Carousel,Carousel,2023-06-09,True
6e39795b-b940-418a-9ec6-b51458a5b39b,1bd90f3e-b297-4155-bba8-c8275188c5e2,e26263ef-e2cf-4059-a74f-105b2bc09db9,Self-enabling leadingedge task-force - Image,Image,2023-04-01,True
2eee7b33-8db8-468a-a0af-5edd39ee3e23,419931bd-3371-46f0-b373-ffd450abd2ce,f8091db0-8915-4c9d-a848-030ff4e11844,Expanded encompassing neural-net - Text,Text,2022-08-27,True
02563c10-0059-4faf-a9a4-e81449caf628,6c13a90e-da8c-48ca-a5e9-76e05a83bb46,a9d03cd8-79fb-4be1-abda-02d7e95795d8,Horizontal leadingedge standardization - Image,Image,2022-06-25,True
4551fbdb-60bb-4df7-8789-cec3ad203690,ab00192b-503d-4f91-b0f0-51b67f945b7c,f8091db0-8915-4c9d-a848-030ff4e11844,Decentralized 4thgeneration product - Image,Image,2022-06-30,True
3b6b6b0c-76c3-4270-a94c-7eefed2ca2dd,4bed9cd8-4cd7-4439-988d-43ab2d226401,2cd98818-b0ed-45d5-bf64-6b610105bf2c,Front-line tertiary complexity - Image,Image,2022-09-26,True
59f6e13d-ad16-4e95-a3ba-33e611c6ab2f,12579630-cad3-40e7-97b0-86702024a345,e26263ef-e2cf-4059-a74f-105b2bc09db9,Reactive 24/7 neural-net - Carousel,Carousel,2022-12-22,True
39002358-b02f-4272-a0fc-88fc9aba5163,30bb18ae-05c2-4ff6-9127-4fb320685474,2cd98818-b0ed-45d5-bf64-6b610105bf2c,Cross-group directional budgetary management - Video,Video,2024-11-22,True
