campaign_id,client_id,staff_id,campaign_name,campaign_type,start_date,end_date,budget,status
3b4555f3-3260-4308-8acc-f5c5a105fffa,297a2629-a3a8-407d-bc79-88f8fff5013e,87dd2196-44fa-49d4-8d23-72674b116ef0,Expedite Best-Of-Breed Supply-Chains Campaign,Awareness,2023-06-24,2023-07-07,19519.93,Active
d5a5587a-220d-4b82-b732-cbb8c0ed0f54,fbc58920-e606-46eb-9391-fdd4e7f70740,1a68f8a5-1e39-451e-acb7-aede8da66f6a,Innovate Back-End Mindshare Campaign,Seasonal,2023-02-23,2023-04-25,11035.13,Active
5f06a3e1-6ea4-4e26-9a72-4e037d40a503,ffec8161-7e48-47c5-9b90-f2b284abe7de,fae390c3-e3d8-4cb5-924a-faf9cf737f59,Morph Scalable Infrastructures Campaign,Seasonal,2024-05-10,2024-07-15,28884.34,Completed
7bdfae4a-d55a-4894-9b6a-7442bed30f9f,ec75a74c-7f39-47d0-abb7-43d6a6e11675,ef86f0e4-04e8-433e-ad8e-d7b9c43ba844,Brand Efficient Paradigms Campaign,Awareness,2024-12-23,2024-12-31,69762.49,Completed
8c01f7a3-035e-4c35-84f0-83f81dcfae69,297a2629-a3a8-407d-bc79-88f8fff5013e,c780171e-2bb0-4739-9581-3e2823f8a10e,Facilitate End-To-End Functionalities Campaign,Lead Generation,2022-04-18,2022-05-29,15597.46,Completed
03c5b3b4-6ec8-4c3a-b3f0-d224331380d2,16e07d9f-328b-431d-9056-55f6eab23b02,ef86f0e4-04e8-433e-ad8e-d7b9c43ba844,Leverage Visionary Schemas Campaign,Awareness,2023-05-24,2023-07-28,95612.51,Paused
2c503f79-c74c-4f87-9c45-feccd9c254c1,ec75a74c-7f39-47d0-abb7-43d6a6e11675,1a68f8a5-1e39-451e-acb7-aede8da66f6a,Engage Value-Added Initiatives Campaign,Seasonal,2024-02-06,2024-03-17,77386.41,Completed
cf1d9c06-85ab-4035-8f5c-24f5df014cc8,a931efe8-3578-497a-8a99-84b8f7de8dba,ef86f0e4-04e8-433e-ad8e-d7b9c43ba844,Matrix B2C Users Campaign,Lead Generation,2022-08-07,2022-08-27,84958.59,Completed
32689130-337a-43c5-8e07-f5f27ec9ea37,ffec8161-7e48-47c5-9b90-f2b284abe7de,ad842097-f71a-47fa-9e8a-ae9b6f7750ee,E-Enable Out-Of-The-Box Applications Campaign,Retargeting,2022-06-07,2022-07-09,40521.82,Active
ff9ab007-5be1-4a52-a98f-c6fbacecb2cf,fb07c09b-e6a0-4200-987f-c668e171d1cb,c780171e-2bb0-4739-9581-3e2823f8a10e,Orchestrate User-Centric Channels Campaign,Awareness,2024-08-18,2024-10-31,61899.74,Completed
